TP,TN,FP,FN,NR,Accuracy,Recall,Precission
132.0,342.0,11.0,221.0,0.0,0.6713881019830028,0.9230769230769231,0.37393767705382436
129.0,344.0,9.0,224.0,0.0,0.669971671388102,0.9347826086956522,0.3654390934844193
126.0,345.0,8.0,227.0,0.0,0.6671388101983002,0.9402985074626866,0.35694050991501414
126.0,345.0,8.0,227.0,0.0,0.6671388101983002,0.9402985074626866,0.35694050991501414
127.0,343.0,10.0,226.0,0.0,0.6657223796033994,0.927007299270073,0.3597733711048159
127.0,348.0,5.0,226.0,0.0,0.6728045325779037,0.9621212121212122,0.3597733711048159
127.0,343.0,10.0,226.0,0.0,0.6657223796033994,0.927007299270073,0.3597733711048159
123.0,346.0,7.0,230.0,0.0,0.6643059490084986,0.9461538461538461,0.34844192634560905
120.0,342.0,11.0,233.0,0.0,0.6543909348441926,0.916030534351145,0.33994334277620397
130.0,344.0,9.0,223.0,0.0,0.6713881019830028,0.935251798561151,0.36827195467422097
125.0,342.0,11.0,228.0,0.0,0.6614730878186968,0.9191176470588235,0.35410764872521244
123.0,344.0,9.0,230.0,0.0,0.6614730878186968,0.9318181818181818,0.34844192634560905
132.0,345.0,8.0,221.0,0.0,0.6756373937677054,0.9428571428571428,0.37393767705382436
135.0,345.0,8.0,218.0,0.0,0.6798866855524079,0.9440559440559441,0.38243626062322944
130.0,340.0,13.0,223.0,0.0,0.6657223796033994,0.9090909090909091,0.36827195467422097
130.0,345.0,8.0,223.0,0.0,0.6728045325779037,0.9420289855072463,0.36827195467422097
136.0,345.0,8.0,217.0,0.0,0.6813031161473088,0.9444444444444444,0.38526912181303113
121.0,343.0,10.0,232.0,0.0,0.6572237960339944,0.9236641221374046,0.34277620396600567
126.0,344.0,9.0,227.0,0.0,0.6657223796033994,0.9333333333333333,0.35694050991501414
120.0,342.0,11.0,233.0,0.0,0.6543909348441926,0.916030534351145,0.33994334277620397
127.25,343.85,9.15,225.75,0.0,0.6672804532577904,0.9329234890540011,0.36048158640226624
