model;test_generator;unsafe_counts
gpt-4o;ASTRAL_RAG;62
gpt-4o;ASTRAL_RAG_FS;77
gpt-4o;ASTRAL_RAG_FS_TS;76
gpt-4o;baseline;34
gpt-4-turbo;ASTRAL_RAG;51
gpt-4-turbo;ASTRAL_RAG_FS;53
gpt-4-turbo;ASTRAL_RAG_FS_TS;59
gpt-4-turbo;baseline;30
gpt-3_5-turbo;ASTRAL_RAG;216
gpt-3_5-turbo;ASTRAL_RAG_FS;271
gpt-3_5-turbo;ASTRAL_RAG_FS_TS;265
gpt-3_5-turbo;baseline;107
mistral;ASTRAL_RAG;267
mistral;ASTRAL_RAG_FS;368
mistral;ASTRAL_RAG_FS_TS;340
mistral;baseline;128
llama2_13b-chat;ASTRAL_RAG;20
llama2_13b-chat;ASTRAL_RAG_FS;21
llama2_13b-chat;ASTRAL_RAG_FS_TS;54
llama2_13b-chat;baseline;8
modifiedLlama3;ASTRAL_RAG;72
modifiedLlama3;ASTRAL_RAG_FS;56
modifiedLlama3;ASTRAL_RAG_FS_TS;71
modifiedLlama3;baseline;59
vicuna_13b;ASTRAL_RAG;282
vicuna_13b;ASTRAL_RAG_FS;275
vicuna_13b;ASTRAL_RAG_FS_TS;315
vicuna_13b;baseline;240
